Tipo,Tamaño,Tiempo(ms)
desfavorable,100,0.001
desfavorable,1000,0.387
desfavorable,10000,4.452
desfavorable,100000,46.92
desfavorable,1000000,483.699
desfavorable,10000000,5185.18
desfavorable,100000000,74369.4
favorable,100,0.001
favorable,1000,0.004
favorable,10000,0.041
favorable,100000,0.403
favorable,1000000,12.749
favorable,10000000,113.238
favorable,100000000,660.479
promedio,100,0.001
promedio,1000,0.573
promedio,10000,9.415
promedio,100000,113.227
promedio,1000000,991.054
promedio,10000000,5652.41
promedio,100000000,54495.9
